x,y
0.984,23.09829393
0.987,23.23575013
0.99,23.37485475
0.993,23.51635904
0.996,23.65765966
0.999,23.80045636
1.002,23.94379903
1.005,24.08839678
1.008,24.23580718
1.011,24.38412212
1.014,24.53272023
1.017,24.68369863
1.02,24.83717588
1.023,24.99292548
1.026,25.14717165
1.029,25.30201383
1.032,25.45867275
1.035,25.61529997
1.038,25.76768906
1.041,25.92116164
1.044,26.07583649
1.047,26.23097302
1.05,26.39068045
1.053,26.55244886
1.056,26.71630634
1.059,26.88312292
1.062,27.05308724
1.065,27.22479479
1.068,27.40163556
1.071,27.58176837
1.074,27.75783658
1.077,27.93984244
1.08,28.12338289
1.083,28.30644347
1.086,28.4913089
1.089,28.67398631
1.092,28.86353211
1.095,29.04815806
1.098,29.23435613
1.101,29.42063537
1.104,29.61023661
1.107,29.79529708
1.11,29.9799879
1.113,30.16557706
1.116,30.35009852
1.119,30.53291583
1.122,30.71228756
1.125,30.89182392
1.128,31.07086041
1.131,31.24177581
1.134,31.41513614
1.137,31.5857245
1.14,31.75243612
1.143,31.91475069
1.146,32.07550221
1.149,32.23159896
1.152,32.38449306
1.155,32.53331354
1.158,32.67824566
1.161,32.81853255
1.164,32.95732859
1.167,33.08737192
1.17,33.21314179
1.173,33.33575149
1.176,33.45381821
1.179,33.56698022
1.182,33.67586754
1.185,33.78048828
1.188,33.88067108
1.191,33.97680973
1.194,34.06849122
1.197,34.15660564
1.2,34.2397035
1.203,34.31946376
1.206,34.39470565
1.209,34.46588051
1.212,34.53315064
1.215,34.59692964
1.218,34.65734276
1.221,34.71441203
1.224,34.76749363
1.227,34.81714937
1.23,34.8639282
1.233,34.90782764
1.236,34.9481185
1.239,34.98595394
1.242,35.02117813
1.245,35.05305623
1.248,35.08270457
1.251,35.11013473
1.254,35.13523992
1.257,35.15802246
1.26,35.17851505
1.263,35.19732791
1.266,35.21423528
1.269,35.22824472
1.272,35.24009838
1.275,35.25037833
1.278,35.25978252
1.281,35.26581069
1.284,35.26994075
1.287,35.271762
1.29,35.27064317
1.293,35.26772802
1.296,35.26203852
1.299,35.25339181
1.302,35.24242156
1.305,35.22915971
1.308,35.21269983
1.311,35.19369043
1.314,35.17190459
1.317,35.14795893
1.32,35.11993921
1.323,35.08834277
1.326,35.0548095
1.329,35.01781502
1.332,34.97892512
1.335,34.93847322
1.338,34.89543932
1.341,34.84796119
1.344,34.79615337
1.347,34.74058459
1.35,34.6811448
1.353,34.6178749
1.356,34.55069871
1.359,34.48012051
1.362,34.40502663
1.365,34.32597692
1.368,34.24331277
1.371,34.156222
1.374,34.06534006
1.377,33.97029224
1.38,33.87136451
1.383,33.76857156
1.386,33.66202547
1.389,33.5517968
1.392,33.4376796
1.395,33.32007235
1.398,33.19926985
1.401,33.07596607
1.404,32.94868023
1.407,32.81833418
1.41,32.68510616
1.413,32.54883554
1.416,32.41019683
1.419,32.26877927
1.422,32.12520648
1.425,31.97952801
1.428,31.83182046
1.431,31.68226845
1.434,31.53119854
1.437,31.37801027
1.44,31.22339314
1.443,31.06780062
1.446,30.91097998
1.449,30.75324629
1.452,30.59461948
1.455,30.43511984
1.458,30.27514112
1.461,30.11436096
1.464,29.95317566
1.467,29.7915809
1.47,29.62956936
1.473,29.46725612
1.476,29.30459942
1.479,29.14226214
1.482,28.97953883
1.485,28.817008
1.488,28.65412723
1.491,28.4916511
1.494,28.32894293
1.497,28.16655543
1.5,28.00406235
1.503,27.84167298
1.506,27.67891678
1.509,27.51628434
1.512,27.35338708
1.515,27.19047475
1.518,27.02705185
1.521,26.86365816
1.524,26.69967909
1.527,26.5356704
1.53,26.37107
1.533,26.20592962
1.536,26.04035014
1.539,25.87395979
1.542,25.70660856
1.545,25.53872208
1.548,25.36990402
1.551,25.20027779
1.554,25.02948546
1.557,24.858041
1.56,24.68525994
1.563,24.51173452
1.566,24.33672923
1.569,24.16098008
1.572,23.98396942
1.575,23.80589488
1.578,23.62642734
1.581,23.4461245
1.584,23.26452772
1.587,23.08200021
1.59,22.89780789
1.593,22.71281263
1.596,22.52718504
1.599,22.3406087
1.602,22.15313599
1.605,21.96469455
1.608,21.77559366
1.611,21.58559584
1.614,21.39466895
1.617,21.20345322
1.62,21.01154772
1.623,20.8193372
1.626,20.62671927
1.629,20.43418835
1.632,20.24118953
1.635,20.04797928
1.638,19.85497853
1.641,19.66217589
1.644,19.46932553
1.647,19.2764029
1.65,19.08376777
1.653,18.89169904
1.656,18.69979474
1.659,18.50831393
1.662,18.31753578
1.665,18.12725751
1.668,17.93707897
1.671,17.74791723
1.674,17.55937043
1.677,17.37132672
1.68,17.18374312
1.683,16.99707274
1.686,16.81087955
1.689,16.62553058
1.692,16.44124894
1.695,16.25774812
1.698,16.07492477
